2026-08-28 15:50:18 | INFO     | highlight_detection | Scored 2 candidates from 2 segments
2026-08-28 15:50:18 | INFO     | highlight_detection | Scored 1 candidates from 1 segments
2026-08-28 15:50:18 | INFO     | highlight_detection | Scored 1 candidates from 1 segments
2026-08-28 15:50:18 | INFO     | highlight_detection | Scored 1 candidates from 1 segments
2026-08-28 15:50:18 | INFO     | highlight_detection | Scored 0 candidates from 0 segments
2026-08-28 15:50:18 | INFO     | highlight_detection | Scored 1 candidates from 1 segments
2026-08-28 15:50:18 | DEBUG    | clip_generator | Skipping overlapping candidate at 0.0s–30.0s
2026-08-28 15:50:18 | DEBUG    | clip_generator | Skipping overlapping candidate at 0.0s–30.0s
2026-08-28 15:50:18 | DEBUG    | clip_generator | Skipping overlapping candidate at 5.0s–35.0s
2026-08-28 15:50:18 | DEBUG    | clip_generator | Skipping overlapping candidate at 10.0s–40.0s
2026-08-28 15:50:18 | DEBUG    | clip_generator | Skipping overlapping candidate at 20.0s–50.0s
2026-08-28 15:50:18 | DEBUG    | clip_generator | Skipping overlapping candidate at 25.0s–55.0s
2026-08-28 15:50:18 | DEBUG    | clip_generator | Skipping overlapping candidate at 35.0s–65.0s
2026-08-28 15:50:18 | INFO     | clip_generator | Selected 4 clips
2026-08-28 15:50:18 | DEBUG    | clip_generator | Skipping overlapping candidate at 0.0s–30.0s
2026-08-28 15:50:18 | DEBUG    | clip_generator | Skipping overlapping candidate at 10.0s–40.0s
2026-08-28 15:50:18 | DEBUG    | clip_generator | Skipping overlapping candidate at 30.0s–60.0s
2026-08-28 15:50:18 | INFO     | clip_generator | Selected 3 clips
2026-08-28 15:50:18 | DEBUG    | clip_generator | Skipping overlapping candidate at 7.0s–37.0s
2026-08-28 15:50:18 | INFO     | clip_generator | Selected 3 clips
2026-08-28 15:50:18 | WARNING  | clip_generator | No highlight candidates provided; using uniform selection.
2026-08-28 15:50:21 | ERROR    | main | Unhandled exception: (sqlite3.OperationalError) no such table: jobs
[SQL: SELECT jobs.id AS jobs_id, jobs.youtube_url AS jobs_youtube_url, jobs.video_id AS jobs_video_id, jobs.video_title AS jobs_video_title, jobs.video_duration AS jobs_video_duration, jobs.video_thumbnail AS jobs_video_thumbnail, jobs.channel_name AS jobs_channel_name, jobs.clip_duration AS jobs_clip_duration, jobs.num_clips AS jobs_num_clips, jobs.aspect_ratio AS jobs_aspect_ratio, jobs.subtitle_style AS jobs_subtitle_style, jobs.status AS jobs_status, jobs.progress AS jobs_progress, jobs.stage AS jobs_stage, jobs.error_message AS jobs_error_message, jobs.created_at AS jobs_created_at, jobs.updated_at AS jobs_updated_at 
FROM jobs ORDER BY jobs.created_at DESC]
(Background on this error at: https://sqlalche.me/e/20/e3q8)
2026-08-28 15:50:22 | ERROR    | main | Unhandled exception: (sqlite3.OperationalError) no such table: jobs
[SQL: SELECT jobs.id AS jobs_id, jobs.youtube_url AS jobs_youtube_url, jobs.video_id AS jobs_video_id, jobs.video_title AS jobs_video_title, jobs.video_duration AS jobs_video_duration, jobs.video_thumbnail AS jobs_video_thumbnail, jobs.channel_name AS jobs_channel_name, jobs.clip_duration AS jobs_clip_duration, jobs.num_clips AS jobs_num_clips, jobs.aspect_ratio AS jobs_aspect_ratio, jobs.subtitle_style AS jobs_subtitle_style, jobs.status AS jobs_status, jobs.progress AS jobs_progress, jobs.stage AS jobs_stage, jobs.error_message AS jobs_error_message, jobs.created_at AS jobs_created_at, jobs.updated_at AS jobs_updated_at 
FROM jobs 
WHERE jobs.id = ?
 LIMIT ? OFFSET ?]
[parameters: ('nonexistent-id', 1, 0)]
(Background on this error at: https://sqlalche.me/e/20/e3q8)
2026-08-28 15:50:44 | INFO     | highlight_detection | Scored 2 candidates from 2 segments
2026-08-28 15:50:44 | INFO     | highlight_detection | Scored 1 candidates from 1 segments
2026-08-28 15:50:44 | INFO     | highlight_detection | Scored 1 candidates from 1 segments
2026-08-28 15:50:44 | INFO     | highlight_detection | Scored 1 candidates from 1 segments
